2018-12-21 05:59:37.233467 -- Epoch: [1][300/354]	Time 2.403 (2.336)	Data 0.003 (0.004)	Loss 2.9784 (3.3648)	Prec@1 13.000 (8.272)	Prec@5 59.000 (33.465)
2018-12-21 06:00:00.995208 -- Epoch: [1][310/354]	Time 2.382 (2.337)	Data 0.002 (0.004)	Loss 2.7948 (3.3534)	Prec@1 21.000 (8.469)	Prec@5 61.000 (34.068)
2018-12-21 06:00:24.300137 -- Epoch: [1][320/354]	Time 2.281 (2.337)	Data 0.003 (0.004)	Loss 2.9649 (3.3426)	Prec@1 15.000 (8.601)	Prec@5 52.000 (34.651)
2018-12-21 06:00:48.130194 -- Epoch: [1][330/354]	Time 2.515 (2.338)	Data 0.002 (0.004)	Loss 2.6859 (3.3274)	Prec@1 25.000 (8.909)	Prec@5 64.000 (35.347)
2018-12-21 06:01:11.988295 -- Epoch: [1][340/354]	Time 2.414 (2.340)	Data 0.002 (0.004)	Loss 2.8345 (3.3153)	Prec@1 20.000 (9.129)	Prec@5 56.000 (35.865)
2018-12-21 06:01:35.578175 -- Epoch: [1][350/354]	Time 2.523 (2.340)	Data 0.003 (0.004)	Loss 2.7808 (3.3019)	Prec@1 27.000 (9.407)	Prec@5 58.000 (36.450)
2018-12-21 06:02:12.132571 -- Epoch: [2][0/354]	Time 3.086 (3.086)	Data 0.121 (0.121)	Loss 2.8810 (2.8810)	Prec@1 10.000 (10.000)	Prec@5 57.000 (57.000)
2018-12-21 06:02:35.098976 -- Epoch: [2][10/354]	Time 2.282 (2.368)	Data 0.003 (0.013)	Loss 2.7681 (2.8459)	Prec@1 22.000 (17.636)	Prec@5 60.000 (57.818)
2018-12-21 06:02:58.028919 -- Epoch: [2][20/354]	Time 2.358 (2.332)	Data 0.003 (0.008)	Loss 2.7142 (2.8163)	Prec@1 12.000 (17.762)	Prec@5 56.000 (57.190)
2018-12-21 06:03:20.998420 -- Epoch: [2][30/354]	Time 2.413 (2.321)	Data 0.003 (0.007)	Loss 2.7279 (2.7955)	Prec@1 21.000 (17.871)	Prec@5 53.000 (56.903)
2018-12-21 06:03:44.288663 -- Epoch: [2][40/354]	Time 2.300 (2.323)	Data 0.003 (0.006)	Loss 2.4864 (2.7534)	Prec@1 29.000 (18.780)	Prec@5 63.000 (57.829)
2018-12-21 06:04:07.649197 -- Epoch: [2][50/354]	Time 2.237 (2.326)	Data 0.002 (0.005)	Loss 2.5836 (2.7268)	Prec@1 19.000 (19.216)	Prec@5 65.000 (58.373)
2018-12-21 06:04:30.758285 -- Epoch: [2][60/354]	Time 2.232 (2.323)	Data 0.003 (0.005)	Loss 2.3896 (2.6860)	Prec@1 28.000 (19.852)	Prec@5 65.000 (59.279)
2018-12-21 06:04:54.197752 -- Epoch: [2][70/354]	Time 2.489 (2.326)	Data 0.003 (0.004)	Loss 2.6087 (2.6590)	Prec@1 22.000 (20.718)	Prec@5 67.000 (59.845)
2018-12-21 06:05:17.661109 -- Epoch: [2][80/354]	Time 2.258 (2.329)	Data 0.003 (0.004)	Loss 2.5420 (2.6372)	Prec@1 25.000 (21.506)	Prec@5 63.000 (60.568)
2018-12-21 06:05:41.287564 -- Epoch: [2][90/354]	Time 2.305 (2.332)	Data 0.002 (0.004)	Loss 2.3591 (2.6076)	Prec@1 26.000 (22.264)	Prec@5 68.000 (61.385)
2018-12-21 06:06:04.826040 -- Epoch: [2][100/354]	Time 2.323 (2.334)	Data 0.006 (0.004)	Loss 2.3398 (2.5875)	Prec@1 27.000 (22.703)	Prec@5 75.000 (62.109)
2018-12-21 06:06:28.171421 -- Epoch: [2][110/354]	Time 2.347 (2.334)	Data 0.004 (0.004)	Loss 2.2383 (2.5630)	Prec@1 29.000 (23.225)	Prec@5 74.000 (62.901)
2018-12-21 06:06:51.548780 -- Epoch: [2][120/354]	Time 2.326 (2.335)	Data 0.003 (0.004)	Loss 2.3937 (2.5674)	Prec@1 25.000 (23.132)	Prec@5 71.000 (62.711)
2018-12-21 06:07:15.146491 -- Epoch: [2][130/354]	Time 2.363 (2.337)	Data 0.003 (0.004)	Loss 2.9371 (2.5862)	Prec@1 8.000 (22.595)	Prec@5 50.000 (62.359)
2018-12-21 06:07:38.603722 -- Epoch: [2][140/354]	Time 2.330 (2.337)	Data 0.003 (0.004)	Loss 2.6655 (2.5877)	Prec@1 24.000 (22.603)	Prec@5 54.000 (62.220)
2018-12-21 06:08:01.873272 -- Epoch: [2][150/354]	Time 2.315 (2.337)	Data 0.004 (0.004)	Loss 2.3511 (2.5789)	Prec@1 29.000 (22.927)	Prec@5 68.000 (62.430)
2018-12-21 06:08:25.236753 -- Epoch: [2][160/354]	Time 2.211 (2.337)	Data 0.003 (0.004)	Loss 2.2738 (2.5677)	Prec@1 26.000 (23.267)	Prec@5 69.000 (62.683)
2018-12-21 06:08:48.281340 -- Epoch: [2][170/354]	Time 2.407 (2.335)	Data 0.002 (0.004)	Loss 2.0464 (2.5513)	Prec@1 35.000 (23.632)	Prec@5 73.000 (63.129)
2018-12-21 06:09:11.928800 -- Epoch: [2][180/354]	Time 2.352 (2.336)	Data 0.003 (0.004)	Loss 2.1899 (2.5326)	Prec@1 36.000 (24.055)	Prec@5 76.000 (63.602)
